Long,Lat,#,Time
-139:29:05.2,38:27:11.4,1,1587483967.3202376
-139:18:02.8,38:34:16.5,2,1587483970.8944397
-139:03:15.9,38:43:41.5,3,1587483974.4676378
-138:48:24.8,38:53:04.3,4,1587483978.04259
-138:37:13.8,39:00:05.0,5,1587483981.6170602
-138:22:15.4,39:09:24.1,6,1587483985.1906085
-138:10:58.8,39:16:21.9,7,1587483988.7653613
-137:55:52.9,39:25:37.2,8,1587483992.3394847
-137:44:30.7,39:32:32.1,9,1587483995.913293
-137:29:17.3,39:41:43.4,10,1587483999.488991
-137:13:59.6,39:50:52.4,11,1587484003.0945487
-137:02:28.5,39:57:42.7,12,1587484006.668567
-136:47:03.1,40:06:47.7,13,1587484010.2752547
-136:35:26.3,40:13:34.9,14,1587484013.8501048
-136:19:53.2,40:22:35.8,15,1587484017.4240232
-136:08:10.5,40:29:19.9,16,1587484020.9979234
-135:52:29.7,40:38:16.7,17,1587484024.5713885
-135:36:44.4,40:47:11.0,18,1587484028.1468384
-135:24:52.4,40:53:50.1,19,1587484031.7538445
-135:08:59.2,41:02:40.2,20,1587484035.3276627
-134:57:01.3,41:09:16.1,21,1587484038.9043176
-134:41:00.2,41:18:01.8,22,1587484042.4759161
-134:24:54.4,41:26:44.9,23,1587484046.049582
-134:12:47.1,41:33:15.6,24,1587484049.6238673
-133:56:33.3,41:41:54.3,25,1587484053.1972535
-133:44:19.8,41:48:21.6,26,1587484056.7707975
-133:27:57.9,41:56:55.8,27,1587484060.345358
-133:15:38.4,42:03:19.7,28,1587484063.9192882
-132:59:08.2,42:11:49.2,29,1587484067.4932783
-132:42:33.4,42:20:16.1,30,1587484071.0669463
-132:30:04.1,42:26:34.5,31,1587484074.6405933
-132:13:21.0,42:34:56.6,32,1587484078.2154517
-132:00:45.5,42:41:11.4,33,1587484081.7893946
-131:43:54.0,42:49:28.6,34,1587484085.36431
-131:31:12.2,42:55:39.8,35,1587484088.9378731
-131:14:12.3,43:03:52.2,36,1587484092.5812695
-130:57:07.6,43:12:01.7,37,1587484096.1889603
-130:44:15.9,43:18:07.0,38,1587484099.7627106
-130:27:02.7,43:26:11.6,39,1587484103.3368366
-130:14:04.6,43:32:13.0,40,1587484106.910735
-129:56:42.9,43:40:12.5,41,1587484110.485269
-129:39:16.2,43:48:08.9,42,1587484114.0583913
-129:26:08.0,43:54:04.3,43,1587484117.6335313
-129:08:32.8,44:01:55.6,44,1587484121.2071145
-128:55:18.1,44:07:47.0,45,1587484124.7871926
-128:37:34.3,44:15:32.9,46,1587484128.3888834
-128:24:13.1,44:21:20.3,47,1587484131.9628606
-128:06:20.6,44:29:00.8,48,1587484135.5370708
-127:48:23.1,44:36:38.2,49,1587484139.111381
-127:34:51.7,44:42:19.2,50,1587484142.7182608
-127:16:45.5,44:49:51.0,51,1587484146.293303
-127:03:07.5,44:55:27.8,52,1587484149.866287
-126:44:52.5,45:02:54.0,53,1587484153.4407823
-126:26:32.6,45:10:17.0,54,1587484157.0144126
-126:12:44.3,45:15:47.0,55,1587484160.5886955
-125:54:15.6,45:23:04.2,56,1587484164.1628988
-125:40:20.7,45:28:30.0,57,1587484167.7368908
-125:21:43.2,45:35:41.3,58,1587484171.3110592
-125:07:41.7,45:41:02.6,59,1587484174.8853211
-124:48:55.4,45:48:08.1,60,1587484178.4606936
-124:30:04.0,45:55:10.1,61,1587484182.0334675
-124:15:52.2,46:00:24.3,62,1587484185.6410403
-123:56:52.0,46:07:20.2,63,1587484189.2169285
-123:42:33.6,46:12:29.9,64,1587484192.7900138
-123:23:24.6,46:19:19.7,65,1587484196.3644428
-123:08:59.5,46:24:24.7,66,1587484199.937468
-122:49:41.8,46:31:08.2,67,1587484203.5117993
-122:30:19.0,46:37:48.1,68,1587484207.0862706
-122:15:43.6,46:42:45.7,69,1587484210.6605196
-121:56:12.0,46:49:19.2,70,1587484214.2409277
-121:41:30.0,46:54:11.9,71,1587484217.8410747
-121:21:49.7,47:00:39.0,72,1587484221.4156647
